Rank,Company Name,3-Year % Growth,Revenue,Industry,# of Employees,City,State
1, ideeli, 40882%, $77.7 million, Retail, 145, New York, NY
2, Solazyme, 20424%, $38 million, Manufacturing, 104, South San Francisco, CA
3, C2C Outdoor, 17744%, $20.9 million, Advertising & Marketing, 7, New York, NY
4, Big Night Entertainment Group, 16093%, $17.1 million, Food & Beverage, 243, Boston, MA
5, Crystal Clear Technologies, 16048%, $16.4 million, Government Services, 12, Saint Petersburg, FL
6, Show Media, 11749%, $14.2 million, Advertising & Marketing, 36, New York, NY
7, Contour, 11663%, $15.1 million, Consumer Products & Services, 41, Seattle, WA
8, Gold & Silver Buyers, 11430%, $15.2 million, Consumer Products & Services, 81, Spring, TX
9, One Source Networks, 10305%, $14.9 million, Telecommunications, 22, San Antonio, TX
10, Connected Logistics, 10112%, $12.4 million, Government Services, 60, Huntsville, AL
11, PaymentMax, 10058%, $10.8 million, Financial Services, 9, Thousand Oaks, CA
12, Century Payments, 9258%, $22.5 million, Financial Services, 364, Frisco, TX
13, Astro Gaming, 9179%, $9.6 million, Consumer Products & Services, 25, San Francisco, CA
14, Advantis Global Services, 8972%, $24.1 million, IT Services, 386, San Francisco, CA
15, Greenspring Energy, 8730%, $10.5 million, Energy, 40, Timonium, MD
16, Vertiglo, 8648%, $12.7 million, Software, 56, Orlando, FL
17, ClearCorrect, 8625%, $8.7 million, Health, 128, Houston, TX
18, Entrust Bankcard, 8417%, $9.4 million, Financial Services, 158, Mesa, AZ
19, Armando Montelongo Companies, 8161%, $47.1 million, Education, 125, San Antonio, TX
20, BrokersWeb.com, 8127%, $15.7 million, Insurance, 29, Miami, FL
21, Charfen Institute, 8007%, $9.9 million, Education, 60, Austin, TX
22, Valuation Management Group, 7910%, $25.4 million, Real Estate, 50, Marietta, GA
23, Trillacorpe Construction, 7737%, $29.2 million, Government Services, 14, Bingham Farms, MI
24, re2g, 7493%, $10.6 million, Energy, 23, Doylestown, PA
25, SingleHop, 7305%, $12.6 million, IT Services, 43, Chicago, IL
26, I.T. Source, 6666%, $8.7 million, Business Products & Services, 16, Los Angeles, CA
27, Integrated Medical Solutions, 6611%, $14.9 million, Government Services, 18, Mansfield, TX
28, AdVentures, 6534%, $6.8 million, Financial Services, 62, Columbia, MO
29, PruGen Pharmaceuticals, 6412%, $7.4 million, Health, 5, Scottsdale, AZ
30, Phone Power, 6337%, $7.8 million, Telecommunications, 55, Canoga Park, CA
31, WBPromotions, 6199%, $6.9 million, Business Products & Services, 43, Houston, TX
32, Electronic Cash Systems, 6133%, $148.7 million, Financial Services, 38, Rancho Santa Margarita, CA
33, HubSpot, 6015%, $15.6 million, Software, 179, Cambridge, MA
34, Square Peg Packaging and Printing, 5986%, $7.4 million, Business Products & Services, 8, Poway, CA
35, Gazelle, 5753%, $21.3 million, Consumer Products & Services, 132, Boston, MA
36, A. Harold and Associates, 5509%, $10.9 million, Government Services, 67, Jacksonville, FL
37, Shipito.com, 5254%, $8 million, Logistics & Transportation, 60, Torrance, CA
38, SunDurance Energy, 5126%, $45.3 million, Energy, 33, Edison, NJ
39, Agiliance, 4909%, $6.3 million, Software, 57, San Jose, CA
40, CPAlead, 4644%, $35.1 million, Advertising & Marketing, 22, Las Vegas, NV
41, GoLive! Mobile, 4526%, $36.3 million, Media, 102, Beverly Hills, CA
42, OnForce Solar, 4493%, $9.2 million, Energy, 18, Bronx, NY
43, Prodege, 4461%, $12.3 million, Advertising & Marketing, 25, Torrance, CA
44, Integrity Management Consulting, 4460%, $12.2 million, Government Services, 47, McLean, VA
45, JMA Solutions, 4317%, $6.6 million, Government Services, 40, Washington, DC
46, FLS Energy, 4303%, $17.6 million, Energy, 61, Asheville, NC
47, Braintree, 4156%, $4.6 million, Financial Services, 27, Chicago, IL
48, Leadnomics, 3932%, $5.8 million, Advertising & Marketing, 9, Philadelphia, PA
49, KG Technologies, 3920%, $40.7 million, Manufacturing, 10, COTATI, CA
50, Intelligent Integration Systems, 3893%, $12.5 million, Software, 5, Boston, MA
51, American Group, 3884%, $6 million, Logistics & Transportation, 10, Gilbert, AZ
52, MZI Group, 3874%, $8.7 million, Construction, 40, Chicago, IL
53, FastSpring, 3851%, $36.6 million, Software, 20, Santa Barbara, CA
54, A10 Networks, 3786%, $55.1 million, Computer Hardware, 210, San Jose, CA
55, The Cybrix Group, 3759%, $22.2 million, Government Services, 25, Tampa, FL
56, Simplicity Consulting, 3727%, $11.5 million, Advertising & Marketing, 58, Kirkland, WA
57, Cask, 3714%, $8.9 million, Government Services, 48, San Diego, CA
58, Slingshot SEO, 3597%, $4.8 million, Advertising & Marketing, 54, Indianapolis, IN
59, Foreground Security, 3544%, $9.4 million, Security, 25, Lake Mary, FL
60, Rivet Software, 3467%, $8.4 million, Software, 379, Denver, CO
61, HomeInsurance.com, 3458%, $7.6 million, Insurance, 125, Wilmington, NC
62, AppAssure Software, 3450%, $6.8 million, Software, 79, Reston, VA
63, Black Mountain Systems, 3446%, $4.4 million, Software, 24, San Diego, CA
64, Rhythm Engineering, 3389%, $7.8 million, Government Services, 35, Lenexa, KS
65, PetRays, 3249%, $3.8 million, Health, 10, The Woodlands, TX
66, Link America, 3224%, $136.3 million, Telecommunications, 20, Rowlett, TX
67, NextDocs, 3213%, $9.8 million, Software, 70, King of Prussia, PA
68, HappyFamily Brands, 3207%, $13.3 million, Food & Beverage, 68, New york, NY
69, ECS, 3188%, $81.2 million, Financial Services, 13, Springfield, MO
70, OtterBox, 3179%, $168.9 million, Consumer Products & Services, 270, Fort Collins, CO
71, AutoLoop, 3159%, $6.9 million, Software, 53, Clearwater, FL
72, TekScape, 3135%, $5.8 million, IT Services, 15, New York, NY
73, Southern Tide, 3121%, $6.2 million, Consumer Products & Services, 12, Greenville, SC
74, Millennial Media, 3080%, $47.8 million, Advertising & Marketing, 162, Baltimore, MD
75, Pointe Vista Development, 3068%, $3.8 million, Real Estate, 60, Oklahoma City, OK
76, Spongecell, 3064%, $3.8 million, Advertising & Marketing, 25, New York, NY
77, Nest Collective, 3054%, $15.4 million, Food & Beverage, 21, Emeryville, CA
78, Lead Research Group, 3013%, $10.7 million, Advertising & Marketing, 17, Huntington Beach, CA
79, K2 Energy Solutions, 2984%, $5.5 million, Energy, 49, Henderson, NV
80, Saxon-Global, 2948%, $7.3 million, IT Services, 80, Irving, TX
81, MAG Trucks, 2932%, $3.7 million, Business Products & Services, 15, Kearney, MO
82, European Wax Center, 2924%, $5.8 million, Consumer Products & Services, 43, Hallandale, FL
83, ING Solutions, 2921%, $18.9 million, Consumer Products & Services, 15, North Miami Beach, FL
84, Local Splash, 2910%, $6.7 million, Advertising & Marketing, 107, Santa Ana, CA
85, Scentsy, 2904%, $381.8 million, Consumer Products & Services, 740, Meridian, ID
86, SightLine Health, 2868%, $18.4 million, Health, 93, Bellaire, TX
87, Sixthman, 2861%, $17 million, Travel, 35, Atlanta, GA
88, WhiteOak Group, 2856%, $5.8 million, Government Services, 24, Easton, MD
89, eGumball, 2835%, $3.1 million, Advertising & Marketing, 45, Irvine, CA
90, LCS Technologies, 2799%, $4.7 million, IT Services, 14, Orangevale, CA
91, KPaul, 2795%, $16.2 million, Government Services, 105, Indianapolis, IN
92, Classroom Essentials Online, 2750%, $3.4 million, Business Products & Services, 5, Canton, GA
93, International Inspirations, 2744%, $37.9 million, Consumer Products & Services, 62, New York, NY
94, 1st Merchant Funding, 2717%, $3.6 million, Financial Services, 9, North Miami, FL
